,year,sample,yearSampleLabel,Cohort,CohortLabel,stattype,subject,grade,scale,jurisdiction,jurisLabel,variable,variableLabel,varValue,varValueLabel,value,isStatDisplayable,errorFlag
0,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,AK,Alaska,TOTAL,All students,1,All students,6.01058578494045,1,0
1,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,AK,Alaska,TOTAL,All students,1,All students,42.59416937509,1,0
2,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,AK,Alaska,TOTAL,All students,1,All students,236.328416950897,1,0
3,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,AK,Alaska,TOTAL,All students,1,All students,29.1029368282933,1,0
4,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,AK,Alaska,TOTAL,All students,1,All students,31.0323983109868,1,0
5,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,AL,Alabama,TOTAL,All students,1,All students,2.25453900196444,1,0
6,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,AL,Alabama,TOTAL,All students,1,All students,48.5179502018787,1,0
7,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,AL,Alabama,TOTAL,All students,1,All students,230.977422662321,1,0
8,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,AL,Alabama,TOTAL,All students,1,All students,23.8253876086053,1,0
9,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,AL,Alabama,TOTAL,All students,1,All students,27.435285452494,1,0
10,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,AR,Arkansas,TOTAL,All students,1,All students,3.48282228521959,1,0
11,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,AR,Arkansas,TOTAL,All students,1,All students,46.6491212039039,1,0
12,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,AR,Arkansas,TOTAL,All students,1,All students,235.215469726642,1,0
13,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,AR,Arkansas,TOTAL,All students,1,All students,28.4721407926837,1,0
14,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,AR,Arkansas,TOTAL,All students,1,All students,27.5204149882338,1,0
15,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,AZ,Arizona,TOTAL,All students,1,All students,5.99887015246869,1,0
16,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,AZ,Arizona,TOTAL,All students,1,All students,40.9271747612345,1,0
17,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,AZ,Arizona,TOTAL,All students,1,All students,237.61175542795,1,0
18,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,AZ,Arizona,TOTAL,All students,1,All students,31.8438510431552,1,0
19,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,AZ,Arizona,TOTAL,All students,1,All students,30.2094901991831,1,0
20,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,CA,California,TOTAL,All students,1,All students,4.658120193184,1,0
21,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,CA,California,TOTAL,All students,1,All students,43.1983399410318,1,0
22,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,CA,California,TOTAL,All students,1,All students,231.549345006155,1,0
23,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,CA,California,TOTAL,All students,1,All students,24.504857308257,1,0
24,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,CA,California,TOTAL,All students,1,All students,31.1122941608928,1,0
25,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,CO,Colorado,TOTAL,All students,1,All students,8.4348124498237,1,0
26,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,CO,Colorado,TOTAL,All students,1,All students,39.349123523491,1,0
27,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,CO,Colorado,TOTAL,All students,1,All students,241.563575620412,1,0
28,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,CO,Colorado,TOTAL,All students,1,All students,34.2248971103049,1,0
29,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,CO,Colorado,TOTAL,All students,1,All students,30.7944551608916,1,0
30,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,CT,Connecticut,TOTAL,All students,1,All students,7.15595404868282,1,0
31,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,CT,Connecticut,TOTAL,All students,1,All students,39.6361199171834,1,0
32,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,CT,Connecticut,TOTAL,All students,1,All students,240.159468855002,1,0
33,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,CT,Connecticut,TOTAL,All students,1,All students,33.736501225303,1,0
34,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,CT,Connecticut,TOTAL,All students,1,All students,30.2026792364115,1,0
35,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,DC,District of Columbia,TOTAL,All students,1,All students,7.04560395365123,1,0
36,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,DC,District of Columbia,TOTAL,All students,1,All students,38.499983204684,1,0
37,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,DC,District of Columbia,TOTAL,All students,1,All students,231.307525116183,1,0
38,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,DC,District of Columbia,TOTAL,All students,1,All students,23.6388568515543,1,0
39,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,DC,District of Columbia,TOTAL,All students,1,All students,34.3049661449359,1,0
40,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,DE,Delaware,TOTAL,All students,1,All students,5.07961429045369,1,0
41,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,DE,Delaware,TOTAL,All students,1,All students,44.9629580201832,1,0
42,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,DE,Delaware,TOTAL,All students,1,All students,238.67801881991,1,0
43,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,DE,Delaware,TOTAL,All students,1,All students,31.7192549719077,1,0
44,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,DE,Delaware,TOTAL,All students,1,All students,27.9437383995088,1,0
45,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,FL,Florida,TOTAL,All students,1,All students,7.10397308677242,1,0
46,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,FL,Florida,TOTAL,All students,1,All students,42.9567344690546,1,0
47,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,FL,Florida,TOTAL,All students,1,All students,242.664320928614,1,0
48,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,FL,Florida,TOTAL,All students,1,All students,34.9212082853474,1,0
49,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,FL,Florida,TOTAL,All students,1,All students,27.5626250341149,1,0
50,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,GA,Georgia,TOTAL,All students,1,All students,5.13911179004089,1,0
51,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,GA,Georgia,TOTAL,All students,1,All students,43.0905227481724,1,0
52,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,GA,Georgia,TOTAL,All students,1,All students,236.452519256357,1,0
53,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,GA,Georgia,TOTAL,All students,1,All students,29.4923812264063,1,0
54,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,GA,Georgia,TOTAL,All students,1,All students,28.9034162101439,1,0
55,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,HI,Hawaii,TOTAL,All students,1,All students,6.58606410682619,1,0
56,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,HI,Hawaii,TOTAL,All students,1,All students,40.4745425244809,1,0
57,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,HI,Hawaii,TOTAL,All students,1,All students,237.895806837329,1,0
58,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,HI,Hawaii,TOTAL,All students,1,All students,31.6962006906849,1,0
59,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,HI,Hawaii,TOTAL,All students,1,All students,31.3272212147583,1,0
60,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,IA,Iowa,TOTAL,All students,1,All students,8.70462563955181,1,0
61,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,IA,Iowa,TOTAL,All students,1,All students,39.8152255251911,1,0
62,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,IA,Iowa,TOTAL,All students,1,All students,243.339911874178,1,0
63,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,IA,Iowa,TOTAL,All students,1,All students,35.5954155275144,1,0
64,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,IA,Iowa,TOTAL,All students,1,All students,29.6510127934135,1,0
65,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,ID,Idaho,TOTAL,All students,1,All students,5.82607068925198,1,0
66,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,ID,Idaho,TOTAL,All students,1,All students,42.0232921000311,1,0
67,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,ID,Idaho,TOTAL,All students,1,All students,238.799624712685,1,0
68,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,ID,Idaho,TOTAL,All students,1,All students,32.3276360720408,1,0
69,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,ID,Idaho,TOTAL,All students,1,All students,29.0005499161357,1,0
70,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,IL,Illinois,TOTAL,All students,1,All students,7.82682864023374,1,0
71,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,IL,Illinois,TOTAL,All students,1,All students,40.4238551284934,1,0
72,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,IL,Illinois,TOTAL,All students,1,All students,237.307813789509,1,0
73,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,IL,Illinois,TOTAL,All students,1,All students,28.8163039373845,1,0
74,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,IL,Illinois,TOTAL,All students,1,All students,32.2444417457682,1,0
75,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,IN,Indiana,TOTAL,All students,1,All students,9.3756531717604,1,0
76,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,IN,Indiana,TOTAL,All students,1,All students,39.5207973533857,1,0
77,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,IN,Indiana,TOTAL,All students,1,All students,247.652183620087,1,0
78,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,IN,Indiana,TOTAL,All students,1,All students,40.3727363609741,1,0
79,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,IN,Indiana,TOTAL,All students,1,All students,27.0371241224539,1,0
80,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,KS,Kansas,TOTAL,All students,1,All students,7.12813326531188,1,0
81,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,KS,Kansas,TOTAL,All students,1,All students,41.5548631718805,1,0
82,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,KS,Kansas,TOTAL,All students,1,All students,241.067208517258,1,0
83,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,KS,Kansas,TOTAL,All students,1,All students,34.1951151538903,1,0
84,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,KS,Kansas,TOTAL,All students,1,All students,29.2653410534,1,0
85,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,KY,Kentucky,TOTAL,All students,1,All students,7.03272203824925,1,0
86,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,KY,Kentucky,TOTAL,All students,1,All students,43.5945462088124,1,0
87,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,KY,Kentucky,TOTAL,All students,1,All students,241.727761931052,1,0
88,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,KY,Kentucky,TOTAL,All students,1,All students,33.4518318963393,1,0
89,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,KY,Kentucky,TOTAL,All students,1,All students,27.8092173732482,1,0
90,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,LA,Louisiana,TOTAL,All students,1,All students,3.50097242431962,1,0
91,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,LA,Louisiana,TOTAL,All students,1,All students,47.8828918312394,1,0
92,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,LA,Louisiana,TOTAL,All students,1,All students,234.28190182677,1,0
93,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,LA,Louisiana,TOTAL,All students,1,All students,26.1377995607855,1,0
94,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,LA,Louisiana,TOTAL,All students,1,All students,26.9040930674823,1,0
95,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,MA,Massachusetts,TOTAL,All students,1,All students,13.099826644216,1,0
96,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,MA,Massachusetts,TOTAL,All students,1,All students,35.6632814900481,1,0
97,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,MA,Massachusetts,TOTAL,All students,1,All students,250.565777826282,1,0
98,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,MA,Massachusetts,TOTAL,All students,1,All students,40.8400373306351,1,0
99,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,MA,Massachusetts,TOTAL,All students,1,All students,28.6787039713925,1,0
100,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,MD,Maryland,TOTAL,All students,1,All students,7.86000560869218,1,0
101,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,MD,Maryland,TOTAL,All students,1,All students,38.7825469628025,1,0
102,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,MD,Maryland,TOTAL,All students,1,All students,239.49975090765,1,0
103,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,MD,Maryland,TOTAL,All students,1,All students,32.2936577382564,1,0
104,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,MD,Maryland,TOTAL,All students,1,All students,31.523097790493,1,0
105,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,ME,Maine,TOTAL,All students,1,All students,7.4616198646386,1,0
106,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,ME,Maine,TOTAL,All students,1,All students,43.7048187214457,1,0
107,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,ME,Maine,TOTAL,All students,1,All students,242.244654099765,1,0
108,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,ME,Maine,TOTAL,All students,1,All students,33.6461057162148,1,0
109,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,ME,Maine,TOTAL,All students,1,All students,28.2125758630003,1,0
110,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,MI,Michigan,TOTAL,All students,1,All students,4.94956234017353,1,0
111,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,MI,Michigan,TOTAL,All students,1,All students,43.54342044831,1,0
112,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,MI,Michigan,TOTAL,All students,1,All students,235.728893690295,1,0
113,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,MI,Michigan,TOTAL,All students,1,All students,29.0054300205007,1,0
114,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,MI,Michigan,TOTAL,All students,1,All students,29.7594078553347,1,0
115,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,MN,Minnesota,TOTAL,All students,1,All students,14.2883318499862,1,0
116,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,MN,Minnesota,TOTAL,All students,1,All students,33.7842229997857,1,0
117,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,MN,Minnesota,TOTAL,All students,1,All students,249.575846952089,1,0
118,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,MN,Minnesota,TOTAL,All students,1,All students,39.1286931510484,1,0
119,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,MN,Minnesota,TOTAL,All students,1,All students,31.5397884134219,1,0
120,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,MO,Missouri,TOTAL,All students,1,All students,5.11558624644314,1,0
121,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,MO,Missouri,TOTAL,All students,1,All students,43.5026803152777,1,0
122,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,MO,Missouri,TOTAL,All students,1,All students,238.964922500718,1,0
123,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,MO,Missouri,TOTAL,All students,1,All students,33.2565420053469,1,0
124,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,MO,Missouri,TOTAL,All students,1,All students,28.7963449641114,1,0
125,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,MS,Mississippi,TOTAL,All students,1,All students,3.39069650138636,1,0
126,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,MS,Mississippi,TOTAL,All students,1,All students,48.1148412010479,1,0
127,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,MS,Mississippi,TOTAL,All students,1,All students,234.243053139768,1,0
128,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,MS,Mississippi,TOTAL,All students,1,All students,26.1606994373968,1,0
129,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,MS,Mississippi,TOTAL,All students,1,All students,26.808295636452,1,0
130,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,MT,Montana,TOTAL,All students,1,All students,6.41787725146054,1,0
131,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,MT,Montana,TOTAL,All students,1,All students,42.7960601337051,1,0
132,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,MT,Montana,TOTAL,All students,1,All students,241.287048262014,1,0
133,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,MT,Montana,TOTAL,All students,1,All students,34.5309560529594,1,0
134,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,MT,Montana,TOTAL,All students,1,All students,27.9452765357007,1,0
135,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,NC,North Carolina,TOTAL,All students,1,All students,8.10351962654392,1,0
136,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,NC,North Carolina,TOTAL,All students,1,All students,40.8553755000045,1,0
137,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,NC,North Carolina,TOTAL,All students,1,All students,243.742266788879,1,0
138,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,NC,North Carolina,TOTAL,All students,1,All students,36.2552041838396,1,0
139,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,NC,North Carolina,TOTAL,All students,1,All students,28.3358130760573,1,0
140,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,ND,North Dakota,TOTAL,All students,1,All students,7.89340175327189,1,0
141,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,ND,North Dakota,TOTAL,All students,1,All students,42.763857356835,1,0
142,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,ND,North Dakota,TOTAL,All students,1,All students,244.71383057758,1,0
143,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,ND,North Dakota,TOTAL,All students,1,All students,36.8916562169671,1,0
144,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,ND,North Dakota,TOTAL,All students,1,All students,27.1325453143352,1,0
145,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,NE,Nebraska,TOTAL,All students,1,All students,7.05749364824609,1,0
146,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,NE,Nebraska,TOTAL,All students,1,All students,40.1381559027141,1,0
147,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,NE,Nebraska,TOTAL,All students,1,All students,243.863666875446,1,0
148,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,NE,Nebraska,TOTAL,All students,1,All students,38.4971913518114,1,0
149,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,NE,Nebraska,TOTAL,All students,1,All students,27.6999237712665,1,0
150,2015,R3,2015,1,Grade 4,ALD:AD,MAT,4,MRPCM,NH,New Hampshire,TOTAL,All students,1,All students,10.0253902895908,1,0
151,2015,R3,2015,1,Grade 4,ALD:BA,MAT,4,MRPCM,NH,New Hampshire,TOTAL,All students,1,All students,39.5784616072638,1,0
152,2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,NH,New Hampshire,TOTAL,All students,1,All students,249.150621351838,1,0
153,2015,R3,2015,1,Grade 4,ALD:PR,MAT,4,MRPCM,NH,New Hampshire,TOTAL,All students,1,All students,41.4078389825291,1,0
154,2015,R3,2015,1,Grade 4,SD:SD,MAT,4,MRPCM,NH,New Hampshire,TOTAL,All students,1,All students,26.3810377780185,1,0
